icd10_category,category_name
E01,Iodine-deficiency related thyroid disorders and allied conditions
E02,Subclinical iodine-deficiency hypothyroidism
E03,Other hypothyroidism
E04,Other nontoxic goiter
E05,Thyrotoxicosis [hyperthyroidism]
E06,Thyroiditis
E07,Other disorders of thyroid
E08,Diabetes mellitus due to underlying condition
E09,Drug or chemical induced diabetes mellitus
E10,Type 1 diabetes mellitus
E11,Type 2 diabetes mellitus
E13,Other specified diabetes mellitus
E15,Nondiabetic hypoglycemic coma
E16,Other disorders of pancreatic internal secretion
E20,Hypoparathyroidism
E21,Hyperparathyroidism and other disorders of parathyroid gland
E22,Hyperfunction of pituitary gland
E23,Hypofunction and other disorders of the pituitary gland
E24,Cushing's syndrome
E25,Adrenogenital disorders
E26,Hyperaldosteronism
E27,Other disorders of adrenal gland
E28,Ovarian dysfunction
E29,Testicular dysfunction
E30,"Disorders of puberty, not elsewhere classified"
E31,Polyglandular dysfunction
E32,Diseases of thymus
E34,Other endocrine disorders
E35,Disorders of endocrine glands in diseases classified elsewhere
E41,Nutritional marasmus
E43,Unspecified severe protein-calorie malnutrition
E44,Protein-calorie malnutrition of moderate and mild degree
E46,Unspecified protein-calorie malnutrition
E50,Vitamin A deficiency
E51,Thiamine deficiency
E53,Deficiency of other B group vitamins
E54,Ascorbic acid deficiency
E55,Vitamin D deficiency
E56,Other vitamin deficiencies
E58,Dietary calcium deficiency
E60,Dietary zinc deficiency
E61,Deficiency of other nutrient elements
E63,Other nutritional deficiencies
E64,Sequelae of malnutrition and other nutritional deficiencies
E65,Localized adiposity
E66,Overweight and obesity
E67,Other hyperalimentation
E70,Disorders of aromatic amino-acid metabolism
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
E72,Other disorders of amino-acid metabolism
E73,Lactose intolerance
E74,Other disorders of carbohydrate metabolism
E75,Disorders of sphingolipid metabolism and other lipid storage disorders
E76,Disorders of glycosaminoglycan metabolism
E77,Disorders of glycoprotein metabolism
E78,Disorders of lipoprotein metabolism and other lipidemias
E79,Disorders of purine and pyrimidine metabolism
E80,Disorders of porphyrin and bilirubin metabolism
E83,Disorders of mineral metabolism
E84,Cystic fibrosis
E85,Amyloidosis
E86,Volume depletion
E87,"Other disorders of fluid, electrolyte and acid-base balance"
E88,Other and unspecified metabolic disorders
E89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
F01,Vascular dementia
F02,Dementia in other diseases classified elsewhere
F03,Unspecified dementia
F04,Amnestic disorder due to known physiological condition
F05,Delirium due to known physiological condition
F06,Other mental disorders due to known physiological condition
F07,Personality and behavioral disorders due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition
F10,Alcohol related disorders
F11,Opioid related disorders
F12,Cannabis related disorders
F13,"Sedative, hypnotic, or anxiolytic related disorders"
F14,Cocaine related disorders
F15,Other stimulant related disorders
F16,Hallucinogen related disorders
F17,Nicotine dependence
F19,Other psychoactive substance related disorders
F20,Schizophrenia
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Shared psychotic disorder
F25,Schizoaffective disorders
F28,Other psychotic disorder not due to a substance or known physiological condition
F29,Unspecified psychosis not due to a substance or known physiological condition
F30,Manic episode
F31,Bipolar disorder
F32,"Major depressive disorder, single episode"
F33,"Major depressive disorder, recurrent"
F34,Persistent mood [affective] disorders
F39,Unspecified mood [affective] disorder
F40,Phobic anxiety disorders
F41,Other anxiety disorders
F42,Obsessive-compulsive disorder
F43,"Reaction to severe stress, and adjustment disorders"
F44,Dissociative and conversion disorders
F45,Somatoform disorders
F48,Other nonpsychotic mental disorders
F50,Eating disorders
F51,Sleep disorders not due to a substance or known physiological condition
F52,Sexual dysfunction not due to a substance or known physiological condition
F53,"Mental and behavioral disorders associated with the puerperium, not elsewhere classified"
F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F55,Abuse of non-psychoactive substances
F60,Specific personality disorders
F63,Impulse disorders
F64,Gender identity disorders
F65,Paraphilias
F68,Other disorders of adult personality and behavior
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F71,Moderate intellectual disabilities
F72,Severe intellectual disabilities
F78,Other intellectual disabilities
F79,Unspecified intellectual disabilities
F80,Specific developmental disorders of speech and language
F81,Specific developmental disorders of scholastic skills
F82,Specific developmental disorder of motor function
F84,Pervasive developmental disorders
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F90,Attention-deficit hyperactivity disorders
F91,Conduct disorders
F93,Emotional disorders with onset specific to childhood
F94,Disorders of social functioning with onset specific to childhood and adolescence
F95,Tic disorder
F98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99,"Mental disorder, not otherwise specified"
G00,"Bacterial meningitis, not elsewhere classified"
G01,Meningitis in bacterial diseases classified elsewhere
G02,Meningitis in other infectious and parasitic diseases classified elsewhere
G03,Meningitis due to other and unspecified causes
G04,"Encephalitis, myelitis and encephalomyelitis"
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G06,Intracranial and intraspinal abscess and granuloma
G06.0,Intracranial abscess and granuloma
G08,Intracranial and intraspinal phlebitis and thrombophlebitis
G09,Sequelae of inflammatory diseases of central nervous system
G10,Huntington's disease
G11,Hereditary ataxia
G12,Spinal muscular atrophy and related syndromes
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G14,Postpolio syndrome
G20,Parkinson's disease
G21,Secondary parkinsonism
G23,Other degenerative diseases of basal ganglia
G24,Dystonia
G25,Other extrapyramidal and movement disorders
G30,Alzheimer's disease
G31,"Other degenerative diseases of nervous system, not elsewhere classified"
G32,Other degenerative disorders of nervous system in diseases classified elsewhere
G35,Multiple sclerosis
G36,Other acute disseminated demyelination
G37,Other demyelinating diseases of central nervous system
G40,Epilepsy and recurrent seizures
G43,Migraine
G44,Other headache syndromes
G45,Transient cerebral ischemic attacks and related syndromes
G46,Vascular syndromes of brain in cerebrovascular diseases
G47,Sleep disorders
G50,Disorders of trigeminal nerve
G51,Facial nerve disorders
G52,Disorders of other cranial nerves
G53,Cranial nerve disorders in diseases classified elsewhere
G54,Nerve root and plexus disorders
G56,Mononeuropathies of upper limb
G57,Mononeuropathies of lower limb
G58,Other mononeuropathies
G59,Mononeuropathy in diseases classified elsewhere
G60,Hereditary and idiopathic neuropathy
G61,Inflammatory polyneuropathy
G62,Other and unspecified polyneuropathies
G63,Polyneuropathy in diseases classified elsewhere
G64,Other disorders of peripheral nervous system
G65,Sequelae of inflammatory and toxic polyneuropathies
G70,Myasthenia gravis and other myoneural disorders
G71,Primary disorders of muscles
G72,Other and unspecified myopathies
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
G80,Cerebral palsy
G81,Hemiplegia and hemiparesis
G82,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G83,Other paralytic syndromes
G89,"Pain, not elsewhere classified"
G90,Disorders of autonomic nervous system
G91,Hydrocephalus
G92,Toxic encephalopathy
G93,Other disorders of brain
G94,Other disorders of brain in diseases classified elsewhere
G95,Other and unspecified diseases of spinal cord
G96,Other disorders of central nervous system
G97,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
G98,Other disorders of nervous system not elsewhere classified
G99,Other disorders of nervous system in diseases classified elsewhere
H00,Hordeolum and chalazion
H01,Other inflammation of eyelid
H02,Other disorders of eyelid
H04,Disorders of lacrimal system
H05,Disorders of orbit
H10,Conjunctivitis
H11,Other disorders of conjunctiva
H15,Disorders of sclera
H16,Keratitis
H17,Corneal scars and opacities
H18,Other disorders of cornea
H20,Iridocyclitis
H21,Other disorders of iris and ciliary body
H25,Age-related cataract
H26,Other cataract
H27,Other disorders of lens
H30,Chorioretinal inflammation
H31,Other disorders of choroid
H33,Retinal detachments and breaks
H34,Retinal vascular occlusions
H35,Other retinal disorders
H40,Glaucoma
H42,Glaucoma in diseases classified elsewhere
H43,Disorders of vitreous body
H44,Disorders of globe
H46,Optic neuritis
H47,Other disorders of optic [2nd] nerve and visual pathways
H49,Paralytic strabismus
H50,Other strabismus
H51,Other disorders of binocular movement
H52,Disorders of refraction and accommodation
H53,Visual disturbances
H54,Blindness and low vision
H55,Nystagmus and other irregular eye movements
H57,Other disorders of eye and adnexa
H59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
H60,Otitis externa
H61,Other disorders of external ear
H62,Disorders of external ear in diseases classified elsewhere
H65,Nonsuppurative otitis media
H66,Suppurative and unspecified otitis media
H68,Eustachian salpingitis and obstruction
H69,Other and unspecified disorders of Eustachian tube
H70,Mastoiditis and related conditions
H71,Cholesteatoma of middle ear
H72,Perforation of tympanic membrane
H73,Other disorders of tympanic membrane
H74,Other disorders of middle ear mastoid
H80,Otosclerosis
H81,Disorders of vestibular function
H83,Other diseases of inner ear
H90,Conductive and sensorineural hearing loss
H91,Other and unspecified hearing loss
H92,Otalgia and effusion of ear
H93,"Other disorders of ear, not elsewhere classified"
H95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
I00,Rheumatic fever without heart involvement
I01,Rheumatic fever with heart involvement
I02,Rheumatic chorea
I05,Rheumatic mitral valve diseases
I06,Rheumatic aortic valve diseases
I07,Rheumatic tricuspid valve diseases
I08,Multiple valve diseases
I09,Other rheumatic heart diseases
I10,Essential (primary) hypertension
I11,Hypertensive heart disease
I12,Hypertensive chronic kidney disease
I13,Hypertensive heart and chronic kidney disease
I15,Secondary hypertension
I16,Hypertensive crisis
I20,Angina pectoris
I21,Acute myocardial infarction
I23,Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)
I24,Other acute ischemic heart diseases
I25,Chronic ischemic heart disease
I26,Pulmonary embolism
I27,Other pulmonary heart diseases
I28,Other diseases of pulmonary vessels
I30,Acute pericarditis
I31,Other diseases of pericardium
I32,Pericarditis in diseases classified elsewhere
I33,Acute and subacute endocarditis
I34,Nonrheumatic mitral valve disorders
I35,Nonrheumatic aortic valve disorders
I36,Nonrheumatic tricuspid valve disorders
I37,Nonrheumatic pulmonary valve disorders
I38,"Endocarditis, valve unspecified"
I39,Endocarditis and heart valve disorders in diseases classified elsewhere
I40,Acute myocarditis
I42,Cardiomyopathy
I43,Cardiomyopathy in diseases classified elsewhere
I44,Atrioventricular and left bundle-branch block
I45,Other conduction disorders
I46,Cardiac arrest
I47,Paroxysmal tachycardia
I48,Atrial fibrillation and flutter
I49,Other cardiac arrhythmias
I50,Heart failure
I51,Complications and ill-defined descriptions of heart disease
I60,Nontraumatic subarachnoid hemorrhage
I61,Intracerebral hemorrhage
I62,Other and unspecified nontraumatic intracranial hemorrhage
I63,Cerebral infarction
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
I67,Other cerebrovascular diseases
I68,Cerebrovascular disorders in diseases classified elsewhere
I69,Sequelae of cerebrovascular disease
I70,Atherosclerosis
I71,Aortic aneurysm and dissection
I72,Other aneurysm
I73,Other peripheral vascular diseases
I74,Arterial embolism and thrombosis
I75,Atheroembolism
I76,Septic arterial embolism
I77,Other disorders of arteries and arterioles
I78,Diseases of capillaries
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
I80,Phlebitis and thrombophlebitis
I81,Portal vein thrombosis
I82,Other venous embolism and thrombosis
I83,Varicose veins of lower extremities
I85,Esophageal varices
I86,Varicose veins of other sites
I87,Other disorders of veins
I88,Nonspecific lymphadenitis
I89,Other noninfective disorders of lymphatic vessels and lymph nodes
I95,Hypotension
I96,"Gangrene, not elsewhere classified"
I97,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
I99,Other and unspecified disorders of circulatory system
J00,Acute nasopharyngitis [common cold]
J01,Acute sinusitis
J02,Acute pharyngitis
J03,Acute tonsillitis
J04,Acute laryngitis and tracheitis
J05,Acute obstructive laryngitis [croup] and epiglottitis
J06,Acute upper respiratory infections of multiple and unspecified sites
J09,Influenza due to certain identified influenza viruses
J10,Influenza due to other identified influenza virus
J11,Influenza due to unidentified influenza virus
J12,"Viral pneumonia, not elsewhere classified"
J13,Pneumonia due to Streptococcus pneumoniae
J14,Pneumonia due to Hemophilus influenzae
J15,"Bacterial pneumonia, not elsewhere classified"
J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
J17,Pneumonia in diseases classified elsewhere
J18,"Pneumonia, unspecified organism"
J20,Acute bronchitis
J21,Acute bronchiolitis
J22,Unspecified acute lower respiratory infection
J30,Vasomotor and allergic rhinitis
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
J32,Chronic sinusitis
J33,Nasal polyp
J34,Other and unspecified disorders of nose and nasal sinuses
J35,Chronic diseases of tonsils and adenoids
J36,Peritonsillar abscess
J37,Chronic laryngitis and laryngotracheitis
J38,"Diseases of vocal cords and larynx, not elsewhere classified"
J39,Other diseases of upper respiratory tract
J40,"Bronchitis, not specified as acute or chronic"
J41,Simple and mucopurulent chronic bronchitis
J42,Unspecified chronic bronchitis
J43,Emphysema
J44,Other chronic obstructive pulmonary disease
J45,Asthma
J47,Bronchiectasis
J61,Pneumoconiosis due to asbestos and other mineral fibers
J63,Pneumoconiosis due to other inorganic dusts
J66,Airway disease due to specific organic dust
J67,Hypersensitivity pneumonitis due to organic dust
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors"
J69,Pneumonitis due to solids and liquids
J70,Respiratory conditions due to other external agents
J80,Acute respiratory distress syndrome
J81,Pulmonary edema
J82,"Pulmonary eosinophilia, not elsewhere classified"
J84,Other interstitial pulmonary diseases
J85,Abscess of lung and mediastinum
J86,Pyothorax
J90,"Pleural effusion, not elsewhere classified"
J91,Pleural effusion in conditions classified elsewhere
J92,Pleural plaque
J93,Pneumothorax and air leak
J94,Other pleural conditions
J95,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
J96,"Respiratory failure, not elsewhere classified"
J98,Other respiratory disorders
J99,Respiratory disorders in diseases classified elsewhere
K00,Disorders of tooth development and eruption
K01,Embedded and impacted teeth
K02,Dental caries
K03,Other diseases of hard tissues of teeth
K04,Diseases of pulp and periapical tissues
K05,Gingivitis and periodontal diseases
K06,Other disorders of gingiva and edentulous alveolar ridge
K08,Other disorders of teeth and supporting structures
K09,"Cysts of oral region, not elsewhere classified"
K11,Diseases of salivary glands
K12,Stomatitis and related lesions
K13,Other diseases of lip and oral mucosa
K14,Diseases of tongue
K20,Esophagitis
K21,Gastro-esophageal reflux disease
K22,Other diseases of esophagus
K25,Gastric ulcer
K26,Duodenal ulcer
K27,"Peptic ulcer, site unspecified"
K28,Gastrojejunal ulcer
K29,Gastritis and duodenitis
K30,Functional dyspepsia
K31,Other diseases of stomach and duodenum
K35,Acute appendicitis
K36,Other appendicitis
K37,Unspecified appendicitis
K38,Other diseases of appendix
K40,Inguinal hernia
K41,Femoral hernia
K42,Umbilical hernia
K43,Ventral hernia
K44,Diaphragmatic hernia
K45,Other abdominal hernia
K46,Unspecified abdominal hernia
K50,Crohn's disease [regional enteritis]
K51,Ulcerative colitis
K52,Other and unspecified noninfective gastroenteritis and colitis
K55,Vascular disorders of intestine
K56,Paralytic ileus and intestinal obstruction without hernia
K57,Diverticular disease of intestine
K58,Irritable bowel syndrome
K59,Other functional intestinal disorders
K60,Fissure and fistula of anal and rectal regions
K61,Abscess of anal and rectal regions
K62,Other diseases of anus and rectum
K63,Other diseases of intestine
K64,Hemorrhoids and perianal venous thrombosis
K65,Peritonitis
K66,Other disorders of peritoneum
K68,Disorders of retroperitoneum
K70,Alcoholic liver disease
K71,Toxic liver disease
K72,"Hepatic failure, not elsewhere classified"
K73,"Chronic hepatitis, not elsewhere classified"
K74,Fibrosis and cirrhosis of liver
K75,Other inflammatory liver diseases
K76,Other diseases of liver
K77,Liver disorders in diseases classified elsewhere
K80,Cholelithiasis
K81,Cholecystitis
K82,Other diseases of gallbladder
K83,Other diseases of biliary tract
K85,Acute pancreatitis
K86,Other diseases of pancreas
K90,Intestinal malabsorption
K91,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
K92,Other diseases of digestive system
K94,Complications of artificial openings of the digestive system
K95,Complications of bariatric procedures
L01,Impetigo
L02,"Cutaneous abscess, furuncle and carbuncle"
L03,Cellulitis and acute lymphangitis
L04,Acute lymphadenitis
L05,Pilonidal cyst and sinus
L08,Other local infections of skin and subcutaneous tissue
L10,Pemphigus
L11,Other acantholytic disorders
L12,Pemphigoid
L13,Other bullous disorders
L20,Atopic dermatitis
L21,Seborrheic dermatitis
L22,Diaper dermatitis
L23,Allergic contact dermatitis
L24,Irritant contact dermatitis
L25,Unspecified contact dermatitis
L26,Exfoliative dermatitis
L27,Dermatitis due to substances taken internally
L28,Lichen simplex chronicus and prurigo
L29,Pruritus
L30,Other and unspecified dermatitis
L40,Psoriasis
L41,Parapsoriasis
L42,Pityriasis rosea
L43,Lichen planus
L44,Other papulosquamous disorders
L50,Urticaria
L51,Erythema multiforme
L52,Erythema nodosum
L53,Other erythematous conditions
L55,Sunburn
L56,Other acute skin changes due to ultraviolet radiation
L57,Skin changes due to chronic exposure to nonionizing radiation
L58,Radiodermatitis
L59,Other disorders of skin and subcutaneous tissue related to radiation
L60,Nail disorders
L63,Alopecia areata
L64,Androgenic alopecia
L65,Other nonscarring hair loss
L66,Cicatricial alopecia [scarring hair loss]
L67,Hair color and hair shaft abnormalities
L68,Hypertrichosis
L70,Acne
L71,Rosacea
L72,Follicular cysts of skin and subcutaneous tissue
L73,Other follicular disorders
L74,Eccrine sweat disorders
L75,Apocrine sweat disorders
L76,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L80,Vitiligo
L81,Other disorders of pigmentation
L82,Seborrheic keratosis
L83,Acanthosis nigricans
